DateField,ValueField
2016-06-30 00:00:00,3263.3280
2016-07-01 00:00:00,3278.8800
2016-07-05 00:00:00,3368.7360
2016-07-06 00:00:00,3392.9280
2016-07-07 00:00:00,3417.9840
2016-07-08 00:00:00,3405.0240
2016-07-11 00:00:00,3410.2080
2016-07-12 00:00:00,3421.4400
2016-07-13 00:00:00,3456.8640
2016-07-14 00:00:00,3465.5040
2016-07-15 00:00:00,3365.2800
2016-07-18 00:00:00,3391.2000
2016-07-19 00:00:00,3293.5680
2016-07-20 00:00:00,3232.2240
2016-07-21 00:00:00,3181.2480
2016-07-22 00:00:00,3156.1920
2016-07-25 00:00:00,3131.1360
2016-07-26 00:00:00,3112.9920
2016-07-27 00:00:00,3144.0960
2016-07-28 00:00:00,3114.7200
2016-07-29 00:00:00,3082.7520
2016-08-01 00:00:00,3196.8000
2016-08-02 00:00:00,3161.3760
2016-08-03 00:00:00,3281.4720
2016-08-04 00:00:00,3288.3840
2016-08-05 00:00:00,3320.3520
2016-08-08 00:00:00,3322.9440
2016-08-09 00:00:00,3272.8320
2016-08-10 00:00:00,3328.9920
2016-08-11 00:00:00,3308.2560
2016-08-12 00:00:00,3309.1200
2016-08-15 00:00:00,3346.2720
2016-08-16 00:00:00,3389.4720
2016-08-17 00:00:00,3419.7120
2016-08-18 00:00:00,3456.8640
2016-08-19 00:00:00,3425.7600
2016-08-22 00:00:00,3334.1760
2016-08-23 00:00:00,3367.8720
2016-08-24 00:00:00,3343.6800
2016-08-25 00:00:00,3360.0960
2016-08-26 00:00:00,3344.5440
2016-08-29 00:00:00,3233.9520
2016-08-30 00:00:00,3188.1600
2016-08-31 00:00:00,3214.0800
2016-09-01 00:00:00,3184.7040
2016-09-02 00:00:00,3204.5760
2016-09-06 00:00:00,3233.9520
2016-09-07 00:00:00,3188.1600
2016-09-08 00:00:00,3151.8720
2016-09-09 00:00:00,3028.3200
2016-09-12 00:00:00,3071.5200
2016-09-13 00:00:00,3096.5760
2016-09-14 00:00:00,3103.4880
2016-09-15 00:00:00,3122.4960
2016-09-16 00:00:00,3101.7600
2016-09-19 00:00:00,3145.8240
2016-09-20 00:00:00,3147.5520
2016-09-21 00:00:00,3164.8320
2016-09-22 00:00:00,3217.5360
2016-09-23 00:00:00,3152.7360
2016-09-26 00:00:00,3133.7280
2016-09-27 00:00:00,3161.3760
2016-09-28 00:00:00,3115.5840
2016-09-29 00:00:00,2992.8960
2016-09-30 00:00:00,3059.4240
2016-10-03 00:00:00,3052.5120
2016-10-04 00:00:00,3095.7120
2016-10-05 00:00:00,3115.5840
