Date,SO
2000-01-03,7.10
2000-01-04,7.18
2000-01-05,7.55
2000-01-06,7.57
2000-01-07,7.71
2000-01-10,7.65
2000-01-11,7.59
2000-01-12,7.73
2000-01-13,7.63
2000-01-14,7.53
2000-01-18,7.30
2000-01-19,7.47
2000-01-20,7.43
2000-01-21,7.65
2000-01-24,7.84
2000-01-25,7.92
2000-01-26,7.96
2000-01-27,7.98
2000-01-28,7.90
2000-01-31,8.02
2000-02-01,7.92
2000-02-02,7.86
2000-02-03,7.98
2000-02-04,7.80
2000-02-07,7.80
2000-02-08,7.84
2000-02-09,7.78
2000-02-10,7.86
2000-02-11,7.82
2000-02-14,7.82
2000-02-15,7.80
2000-02-16,7.66
2000-02-17,7.54
2000-02-18,7.40
2000-02-22,7.40
2000-02-24,7.08
2000-02-25,6.98
2000-02-28,7.28
2000-02-29,7.12
2000-03-01,7.04
2000-03-02,7.08
2000-03-03,7.08
2000-03-06,6.80
2000-03-07,6.84
2000-03-08,6.78
2000-03-09,6.76
2000-03-10,6.78
2000-03-13,6.84
2000-03-14,6.60
2000-03-15,7.00
2000-03-16,7.30
2000-03-17,7.04
2000-03-20,6.98
2000-03-21,6.84
2000-03-22,6.72
2000-03-23,6.88
2000-03-24,7.02
2000-03-27,7.08
2000-03-28,7.00
2000-03-29,6.98
2000-03-30,6.96
2000-03-31,6.98
2000-04-03,7.26
2000-04-04,7.42
2000-04-05,7.42
2000-04-06,7.20
2000-04-07,7.14
2000-04-10,7.48
2000-04-11,7.54
2000-04-12,7.74
2000-04-13,7.96
2000-04-14,7.86
2000-04-17,7.86
2000-04-18,8.17
2000-04-19,7.98
2000-04-20,8.20
2000-04-24,8.32
2000-04-25,8.56
2000-04-26,8.82
2000-04-27,8.44
2000-04-28,8.10
2000-05-01,7.87
2000-05-02,7.93
2000-05-03,7.98
2000-05-04,8.08
2000-05-05,7.96
2000-05-08,8.10
2000-05-09,8.12
2000-05-10,8.22
2000-05-11,8.40
2000-05-12,8.14
2000-05-15,8.30
2000-05-16,8.20
2000-05-17,7.96
2000-05-18,8.18
2000-05-19,8.30
2000-05-22,8.42
2000-05-23,8.34
2000-05-24,8.58
2000-05-25,8.50
2000-05-26,8.56
2000-05-30,8.36
2000-05-31,8.42
2000-06-01,8.38
2000-06-05,7.87
2000-06-06,8.08
2000-06-07,8.12
2000-06-08,8.10
2000-06-12,8.17
2000-06-13,8.34
2000-06-14,8.30
2000-06-15,8.30
2000-06-16,8.14
2000-06-19,8.04
2000-06-20,8.12
2000-06-21,8.08
2000-06-22,8.08
2000-06-23,8.08
2000-06-26,8.12
2000-06-27,7.85
2000-06-28,7.98
2000-06-29,7.79
2000-06-30,7.57
2000-07-03,7.73
2000-07-05,7.73
2000-07-06,7.77
2000-07-07,7.87
2000-07-10,8.02
2000-07-11,8.06
2000-07-12,7.91
2000-07-13,7.93
2000-07-14,7.83
2000-07-17,7.83
2000-07-18,7.89
2000-07-19,8.16
2000-07-20,8.16
2000-07-21,8.18
2000-07-24,8.12
2000-07-25,8.10
2000-07-26,7.91
2000-07-27,8.02
2000-07-28,8.06
2000-07-31,7.93
2000-08-01,8.14
2000-08-02,8.48
2000-08-03,8.70
2000-08-04,8.72
2000-08-07,9.03
2000-08-08,9.17
2000-08-09,8.96
2000-08-10,8.93
2000-08-11,8.94
2000-08-14,9.05
2000-08-15,9.07
2000-08-16,8.99
2000-08-17,8.98
2000-08-18,9.00
2000-08-21,9.02
2000-08-22,8.98
2000-08-23,9.19
2000-08-24,9.21
2000-08-25,9.33
2000-08-30,9.66
2000-08-31,9.85
2000-09-01,9.85
2000-09-05,10.07
